text,trust,fear,surprise,sadness,disgust,anger,anticipation,joy
@04Nakula @jokowi @prabowo @Gerindra @DailymotionUSA pdhl poros ke3 ini sebenarnya mau nelikung koalisi dr @prabowo…,0.11200165596774025,0.017247632989763315,0.0008924815247697127,0.005696133751884105,0.011435126469632101,0.021319630207310723,0.09268686585040067,0.6661399972101059
@Achmadr06327297 @fadlizon @Gerindra @prabowo Maap bos...mending ngomong realita aja soal keunggulan itu dimana ung…,0.048468627913023705,0.013293809215689808,0.0010322268894538658,0.00857952409765813,0.03499860628057272,0.13744304759659623,0.08152609413282987,0.5900017224580283
"@Gerindra @PKSejahtera @prabowo Seandainya sekutu berpaling, Apa masih tetap calonin Tuan Prabowo? Gak ada yang lebih fresh gitu?",0.026870253004792687,0.8287981117573991,0.001069692790413568,0.00907790704232502,0.047856026822587286,0.03458299135714619,0.11453964530218616,0.032974481576782726
"@fadlizon @Gerindra @prabowo Saya dukung pak prabowo capres,namun plihan #2019TetapJokowi",0.2913817673941561,0.010670938959287588,0.0009908191197136775,0.0031195891838258177,0.014583735435288339,0.019771247247146316,0.025828833818677892,0.7279107721294199
@Gerindra @PKSejahtera Mencari yang setia dan sepemikiran itu sulit..\nJika anda menemukan sahabat yg setia dan sepe…,0.7819377888612041,0.01398608799813228,0.0011665155817820823,0.019901584922028034,0.011885448672950886,0.03068607360652286,0.052376631470180304,0.12443502376850418
#kom4 Edhy P. @Gerindra #sumsel1: kita berharap semoga bisa tegas dan silakan Pak Dirjen utk menyampaikan paparannya.,0.6452090243889537,0.01029598690173618,0.0009656787938843831,0.006272354028144869,0.017356529828582587,0.017736289041638792,0.05262647117608896,0.27621929230360304
@Gerindra Memang pak prabowo sdh pernah mimipin  masyarakat..? Paling cuma partai nya yang dipimpinnya kalau jkw di…,0.09720345947574464,0.01241486819557667,0.001202478595699459,0.016418831989198752,0.0337586019130451,0.8834367820688843,0.070735558156375,0.043066494879238526
@fadlizon @prabowo @Gerindra Kompas medianya cebong,0.025491544518565216,0.012818353099817012,0.0010617787071051379,0.000925132848741276,0.10897231010512377,0.8725931590352716,0.025317878176463738,0.030572934308250952
@04Nakula @jokowi @prabowo @Gerindra @DailymotionUSA pdhl poros ke3 ini sebenarnya mau nelikung koalisi dr @prabowo…,0.11200165596774025,0.017247632989763315,0.0008924815247697127,0.005696133751884105,0.011435126469632101,0.021319630207310723,0.09268686585040067,0.6661399972101059
@Achmadr06327297 @fadlizon @Gerindra @prabowo Maap bos...mending ngomong realita aja soal keunggulan itu dimana ung…,0.048468627913023705,0.013293809215689808,0.0010322268894538658,0.00857952409765813,0.03499860628057272,0.13744304759659623,0.08152609413282987,0.5900017224580283
